BESCHRIJVING DECLARATIE,REFERENTIE FACTUUR,DATUM FACTUUR - extracted,LEVERANCIER - EXTRACTED,BETAALD BEDRAG - extracted from invoice,VALUTA - extracted from invoice,BETAALD BEDRAG - declared ,LEVERANCIER - DECLARED,KOSTENRUBRIEK - declared,DATUM FACTUUR - DECLARED,DECLARATIEDATUM (can be assumed to be close to payment date),FLC: REDEN VERWERPING,double,late,amount,supplier,category,eligible,pred.double,latest,pred.late,pred.amount,pred.supplier,pred.category,pred.eligible
purchase of specialized sensors for monitoring soil moisture levels in agricultural fields.,,2020-10-16,AgriTech Solutions,7531.766264061225,dollar,6327.620149593569,AgriTech Solutions,equipment,2020-10-26,2021-03-19,,0,0,0,0,0,0,0,2021-04-26,0,0,0,0,0
renovation of a warehouse for setting up a food distribution center for underprivileged communities.,,2022-03-14,Community Relief Works,8211.995079543247,euro ,8211.995079543247,Community Relief Works,infrastructure and building,2022-03-14,2022-09-30,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-09-14,1,0,0,0,0
costs incurred in preparing a proposal for a study on the effects of air pollution on respiratory health.,,2018-01-01,Health Research Institute,1707.053770773261,euro ,1707.053770773261,Health Research Institute,preparation costs,2018-01-01,2018-02-04,,0,0,0,0,0,0,0,2018-07-01,0,0,0,0,0
flight expenses for attending a conference on sustainable development goals in tokyo.,,2022-08-29,Global Events Travel,1965.150613471809,euro ,1965.150613471809,Global Events Travel,travel costs,2022-08-29,2022-09-13,,0,0,0,0,0,0,0,2023-02-28,0,0,0,0,0
consultation fees for developing a marketing strategy for a renewable energy startup.,,2022-06-05,Marketing Solutions Inc.,3306.003015775989,euro ,3306.003015775989,Marketing Solutions Inc.,external services,2022-06-05,2022-11-20,,0,0,0,0,0,0,0,2022-12-05,0,0,0,0,0
purchase of laboratory glassware and chemicals for a study on water quality assessment.,,2020-07-12,Lab Supplies Direct,2551.536246335738,euro ,2551.536246335738,Lab Supplies Direct,equipment,2020-07-12,2020-11-30,,0,0,0,0,0,0,0,2021-01-12,0,0,0,0,0
construction of a solar panel installation to power a research facility in a remote area.,,2019-03-02,Solar Energy Solutions,16147.01261116492,euro ,16147.01261116492,Solar Energy Solutions,infrastructure and building,2019-03-02,2019-06-06,,0,0,0,0,0,0,0,2019-09-02,0,0,0,0,0
time spent on preparing a proposal for a project aiming to reduce plastic pollution in oceans.,,2019-11-11,Ocean Conservation NGO,1072.254970894504,euro ,1072.254970894504,Ocean Conservation NGO,preparation costs,2019-11-11,2020-03-21,,0,0,0,0,0,0,0,2020-05-11,0,0,0,0,0
accommodation and meal expenses for attending a symposium on marine biodiversity.,,2022-08-28,Marine Research Institute,969.6544279148654,euro ,969.6544279148654,Marine Research Institute,travel costs,2022-08-28,2022-10-09,,0,0,0,0,0,0,0,2023-02-28,0,0,0,0,0
consulting fees for developing a curriculum for environmental education workshops.,,2021-05-03,Education Consultants,3052.985812012409,euro ,3052.985812012409,Education Consultants,external services,2021-05-03,2021-06-06,,0,0,0,0,0,0,0,2021-11-03,0,0,0,0,0
purchase of drones for aerial surveillance of deforestation activities in rainforests.,,2020-06-10,Drone Technologies Inc.,7033.739489640579,euro ,7033.739489640579,Drone Technologies Inc.,equipment,2020-06-10,2020-08-17,,0,0,0,0,0,0,0,2020-12-10,0,0,0,0,0
renovation of a community center to serve as a hub for environmental awareness programs.,,2018-01-12,Community Development Corp.,6449.507896013595,euro ,6449.507896013595,Community Development Corp.,infrastructure and building,2018-01-12,2018-05-13,,0,0,0,0,0,0,0,2018-07-12,0,0,0,0,0
costs incurred in preparing a proposal for a research project on alternative energy sources.,,2022-02-22,Energy Research Institute,1482.470535810191,euro ,1482.470535810191,Energy Research Institute,preparation costs,2022-02-22,2022-05-02,,0,0,0,0,0,0,0,2022-08-22,0,0,0,0,0
train tickets for attending a seminar on sustainable urban planning in barcelona.,,2020-11-26,Urban Development Agency,645.8679035785217,euro ,645.8679035785217,Urban Development Agency,travel costs,2020-11-26,2021-02-06,,0,0,0,0,0,0,0,2021-05-26,0,0,0,0,0
consultation fees for developing a waste management plan for a city's municipal council.,,2019-01-14,Environmental Solutions,3944.427768441845,euro ,3944.427768441845,Environmental Solutions,external services,2019-01-14,2019-05-23,,0,0,0,0,0,0,0,2019-07-14,0,0,0,0,0
purchase of water purification systems for a project addressing clean drinking water access in rural areas.,,2019-07-23,Clean Water Tech Ltd.,9835.485918124361,euro ,9835.485918124361,Clean Water Tech Ltd.,equipment,2019-07-23,2019-08-22,,0,0,0,0,0,0,0,2020-01-23,0,0,0,0,0
hiring a professional grant writer to draft project proposal,,2020-03-02,GrantWriter Co.,2013.811662259697,euro ,2013.811662259697,GrantWriter Co.,preparation costs,2020-03-02,2020-07-08,,0,0,0,0,0,0,0,2020-09-02,0,0,0,0,0
round-trip airfare for attending an international conference,,2020-02-29,Tui Belgium,821.9013353758232,dollar,821.9013353758232,Tui,travel costs,2020-02-29,2020-06-20,please specify the correct invoiced amount,0,0,1,0,0,0,0,2020-08-29,0,0,0,0,0
legal consultation for project compliance,,2022-10-26,Law Firm ABC,1559.360493140143,euro ,1559.360493140143,Law Firm ABC,external services,2022-10-26,2023-05-08,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2023-04-26,1,0,0,0,0
purchase of laboratory equipment for research,,2019-09-26,Lab Supplies Inc,5162.375204647963,euro ,5162.375204647963,Lab Supplies Inc,equipment,2019-09-26,2019-12-13,,0,0,0,0,0,0,0,2020-03-26,0,0,0,0,0
renovation of office space to accommodate project team,,2022-04-07,Construction Co.,10980.46937655884,euro ,10980.46937655884,Construction Co.,infrastructure and building,2022-04-07,2022-10-10,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-10-07,1,0,0,0,0
printing and binding of project proposal documents,,2020-04-22,Print Shop DEF,306.6619509009265,euro ,306.6619509009265,Print Shop agito,preparation costs,2020-04-22,2020-11-04,"please specify the correct supplier | costs that are declared too late, can only be reimbursed for 50%",0,1,0,1,0,0,0,2020-10-22,1,0,1,0,0
taxi fare for transportation to project site visits,,2018-10-03,Taxi Service GHI,150.1480126782858,euro ,150.1480126782858,Taxi Service GHI,travel costs,2018-10-03,2019-01-14,,0,0,0,0,0,0,0,2019-04-03,0,0,0,0,0
software development for project data analysis,,2018-03-01,Tech Solutions Ltd,3093.823983085959,euro ,3093.823983085959,Tech Solutions Ltd,external services,2018-03-01,2018-06-26,,0,0,0,0,0,0,0,2018-09-01,0,0,0,1,0
acquisition of specialized cameras for fieldwork,,2018-05-23,Camera Store JKL,2742.588311016726,euro ,2742.588311016726,Camera Store JKL,equipment,2018-05-23,2018-07-08,,0,0,0,0,0,0,0,2018-11-23,0,0,0,0,0
purchase of land for setting up experimental field site,,2019-11-19,Real Estate Agency MNO,21371.37279035751,euro ,21371.37279035751,Real Estate Agency MNO,infrastructure and building,2019-11-19,2020-02-12,,0,0,0,0,0,0,0,2020-05-19,0,0,0,0,0
consultation fees for project planning,,2022-09-11,Consultant PQRS,1248.264430390731,euro ,1248.264430390731,Consultant PQRS,preparation costs,2022-09-11,2022-10-09,,0,0,0,0,0,0,0,2023-03-11,0,0,0,1,0
accommodation expenses during project site visits,,2020-10-27,Hotel ABC,613.6245897765801,euro ,613.6245897765801,Hotel ABC,travel costs,2020-10-27,2021-04-03,,0,0,0,0,0,0,0,2021-04-27,0,0,0,0,0
graphic design for project promotional materials,,2020-04-09,Design Studio XYZ,821.8438810913708,euro ,821.8438810913708,Design Studio XYZ,external services,2020-04-09,2020-08-22,,0,0,0,0,0,0,0,2020-10-09,0,0,0,0,0
purchase of microscopes for laboratory analysis,,2022-05-28,Science Equipment Co.,4193.514947503941,euro ,4193.514947503941,Science Equipment Co.,equipment,2022-05-28,2022-08-03,,0,0,0,0,0,0,0,2022-11-28,0,0,0,0,0
construction of greenhouse facilities for botanical research,,2022-02-06,Greenhouse Builders Inc,15509.14059464791,euro ,15509.14059464791,Greenhouse Builders Inc,infrastructure and building,2022-02-06,2022-02-27,,0,0,0,0,0,0,0,2022-08-06,0,0,0,0,0
subscription fees for accessing relevant research journals,,2018-05-23,Academic Publisher STU,548.5603457963407,euro ,548.5603457963407,Academic Publisher STU,preparation costs,2018-05-23,2018-07-28,,0,0,0,0,0,0,0,2018-11-23,0,0,0,0,0
fuel costs for project-related transportation,,2020-04-01,Gas Station VWX,205.4410096349301,euro ,205.4410096349301,Gas Station VWX,travel costs,2020-04-01,2020-08-04,,0,0,0,0,0,0,0,2020-10-01,0,0,0,0,0
environmental impact assessment for project compliance,,2018-09-04,Environmental Consulting Firm YZ,2603.693101182416,euro ,2603.693101182416,Environmental Consulting Firm YZ,external services,2018-09-04,2019-02-21,,0,0,0,0,0,0,0,2019-03-04,0,0,0,0,0
procurement of computers and software for data management,,2021-05-28,IT Supplier 123,6292.163980232753,euro ,6292.163980232753,IT Supplier 123,equipment,2021-05-28,2021-12-10,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-11-28,1,0,0,0,0
installation of water purification system for lab use,,2019-09-22,Plumbing Services 456,3237.382381948399,euro ,3237.382381948399,Plumbing Services 456,infrastructure and building,2019-09-22,2020-02-26,,0,0,0,0,0,0,0,2020-03-22,0,0,0,0,0
patent filing fees for project innovations,,2019-03-10,Intellectual Property Law Firm 789,2607.545503344827,euro ,2607.545503344827,Intellectual Property Law Firm 789,preparation costs,2019-03-10,2019-06-23,,0,0,0,0,0,0,0,2019-09-10,0,0,0,0,0
parking fees for attending project review meetings,,2019-03-02,Parking Lot 101112,53.84107803182896,euro ,53.84107803182896,Parking Lot 101112,travel costs,2019-03-02,2019-05-10,,0,0,0,0,0,0,0,2019-09-02,0,0,0,0,0
translation services for project documents,,2021-01-29,Translation Agency 131415,1016.508740943739,euro ,1016.508740943739,Translation Agency 131415,external services,2021-01-29,2021-02-25,,0,0,0,0,0,0,0,2021-07-29,0,0,0,0,0
purchase of fieldwork tools for geological surveys,,2022-03-20,Fieldwork Equipment Company 161718,1234.676344929583,euro ,1234.676344929583,Fieldwork Equipment Company 161718,equipment,2022-03-20,2022-06-21,,0,0,0,0,0,0,0,2022-09-20,0,0,0,0,0
upgrade of electrical system for new equipment,,2018-10-14,Electrician Services 192021,2135.664391922699,euro ,2135.664391922699,Electrician Services 192021,infrastructure and building,2018-10-14,2019-01-03,,0,0,0,0,0,0,0,2019-04-14,0,0,0,1,0
training workshop for project staff on proposal writing,,2019-10-16,Training Institute 222324,1858.950056065222,euro ,1858.950056065222,Training Institute 222324,preparation costs,2019-10-16,2020-02-18,,0,0,0,0,0,0,0,2020-04-16,0,0,0,0,0
public transportation costs for commuting to project site,,2020-08-04,Public Transit Authority 252627,104.2681357469292,euro ,104.2681357469292,Public Transit Authority 252627,travel costs,2020-08-04,2020-10-12,,0,0,0,0,0,0,0,2021-02-04,0,0,0,0,0
marketing consultancy for project visibility,,2018-02-22,Marketing Agency 282930,3516.785594821753,euro ,3516.785594821753,Marketing Agency 282930,external services,2018-02-22,2018-06-21,,0,0,0,0,0,0,0,2018-08-22,0,0,0,0,0
hiring a professional grant writer for project proposal,,2021-07-19,GrantWrite Inc.,1624.937249850425,euro ,1624.937249850425,GrantWrite Inc.,preparation costs,2021-07-19,2021-10-16,,0,0,0,0,0,0,0,2022-01-19,0,0,0,0,0
round-trip airfare for project team to attend conference,,2019-04-28,Airline XYZ,3202.965854305626,dollar,3202.965854305626,Airline XYZ,travel costs,2019-04-28,2019-08-27,please specify the correct invoiced amount,0,0,1,0,0,0,0,2019-10-28,0,0,0,0,0
consulting services for market research,,2021-10-04,MarketInsight,5306.087405104614,euro ,5306.087405104614,MarketInsight,external services,2021-10-04,2022-01-13,,0,0,0,0,0,0,0,2022-04-04,0,0,0,0,0
purchase of laboratory equipment,,2021-12-27,LabTech,8321.535199635402,euro ,8321.535199635402,LabTech,equipment,2021-12-27,2022-03-24,,0,0,0,0,0,0,0,2022-06-27,0,0,0,0,0
renovation of lab space for project requirements,,2020-05-04,BuildMaster,13033.60904900448,dollar,13033.60904900448,BuildMaster,infrastructure and building,2020-05-04,2020-10-27,please specify the correct invoiced amount,0,0,1,0,0,0,0,2020-11-04,0,0,0,0,0
graphic design services for project proposal,,2019-06-15,DesignPros,1032.044308000884,euro ,1032.044308000884,DesignPros,preparation costs,2019-06-15,2019-08-08,,0,0,0,0,0,0,0,2019-12-15,0,0,0,0,0
accommodation for project team during field research,,2020-10-21,Hotel Delta,2702.17472780581,euro ,2702.17472780581,Hotel Delta,travel costs,2020-10-21,2021-02-02,,0,0,0,0,0,0,0,2021-04-21,0,0,0,0,0
legal consultation for project patenting,,2018-02-02,LegalEagle,3589.622407386268,euro ,3589.622407386268,LegalEagle,external services,2018-02-02,2018-04-10,,0,0,0,0,0,0,0,2018-08-02,0,0,0,0,0
purchase of specialized software for data analysis,,2021-10-15,DataSoft,6310.619930466655,euro ,6310.619930466655,DataSoft,equipment,2021-10-15,2021-12-06,,0,0,0,0,0,0,0,2022-04-15,0,0,0,0,0
construction of specialized testing facility,,2018-08-25,BuildTech,19656.80930909377,dollar,19656.80930909377,BuildTech,infrastructure and building,2018-08-25,2018-10-28,please specify the correct invoiced amount,0,0,1,0,0,0,0,2019-02-25,0,0,0,0,0
printing and binding of project proposal documents,,2019-12-01,PrintWorks,854.5484897247995,euro ,854.5484897247995,PrintWorks,preparation costs,2019-12-01,2020-03-16,,0,0,0,0,0,0,0,2020-06-01,0,0,0,0,0
rental of vehicles for on-site visits,,2018-07-07,CarRental Co.,1258.751745052362,euro ,1258.751745052362,CarRental Co.,travel costs,2018-07-06,2018-08-06,,0,0,0,0,0,0,0,2019-01-06,0,0,0,0,0
statistical analysis services for project data,,2018-11-15,StatSolutions,4514.473791135145,euro ,4514.473791135145,Harvard Applied math department,external services,2018-11-15,2019-04-06,please specify the correct supplier,0,0,0,1,0,0,0,2019-05-15,0,0,1,0,0
acquisition of precision measurement instruments,,2019-04-24,MeasureTech,7548.910622415374,euro ,7548.910622415374,MeasureTech,equipment,2019-04-24,2019-06-19,,0,0,0,0,0,0,0,2019-10-24,0,0,0,0,0
installation of climate control system for project needs,,2021-07-30,ClimateControl,15213.31960554371,euro ,15213.31960554371,ClimateControl,infrastructure and building,2021-07-30,2021-08-28,,0,0,0,0,0,0,0,2022-01-30,0,0,0,0,0
fees for project proposal submission,,2020-05-18,FundingAgency,522.9730909531736,euro ,522.9730909531736,FundingAgency,preparation costs,2020-05-18,2020-11-01,,0,0,0,0,0,0,0,2020-11-18,0,0,0,0,0
public transportation passes for project team,,2020-10-17,Transit Co.,854.1824924383379,euro ,854.1824924383379,Transit Co.,travel costs,2020-10-17,2020-11-30,,0,0,0,0,0,0,0,2021-04-17,0,0,0,0,0
environmental impact assessment study,,2020-03-20,EnviroConsult,6507.468992142837,euro ,6507.468992142837,EnviroConsult,external services,2020-03-20,2020-08-06,,0,0,0,0,0,0,0,2020-09-20,0,0,0,0,0
purchase of specialized tools for fieldwork,,2019-04-27,ToolZone,4015.015767691627,euro ,4015.015767691627,ToolZone,equipment,2019-04-27,2019-10-05,,0,0,0,0,0,0,0,2019-10-27,0,0,0,0,0
renovation of office space for project team,,2020-04-26,OfficeRenos,10634.19413841909,euro ,10634.19413841909,OfficeRenos,infrastructure and building,2020-04-26,2020-05-11,,0,0,0,0,0,0,0,2020-10-26,0,0,0,0,0
copywriting services for project proposal,,2019-01-29,CopyCraft,1304.130057584782,euro ,1304.130057584782,CopyCraft,preparation costs,2019-01-29,2019-08-16,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2019-07-29,1,0,0,0,0
taxi fares for transportation to project meetings,,2022-11-10,CityTaxis,435.5351297006497,euro ,435.5351297006497,CityTaxis,travel costs,2022-11-10,2023-02-14,,0,0,0,0,0,0,0,2023-05-10,0,0,0,0,0
engineering consultancy for project design,,2022-03-21,EngiPro,8100.883803291708,euro ,8100.883803291708,EngiPro,external services,2022-03-21,2022-04-21,,0,0,0,0,0,0,0,2022-09-21,0,0,0,0,0
procurement of laboratory glassware,,2021-10-02,GlassTech,2146.525365683959,euro ,2146.525365683959,GlassTech,equipment,2021-10-02,2022-02-19,,0,0,0,0,0,0,0,2022-04-02,0,0,0,0,0
purchase of land for construction of project facility,,2019-12-19,LandBuy Co.,27326.42006502017,euro ,27326.42006502017,LandBuy Co.,infrastructure and building,2019-12-19,2020-05-10,,0,0,0,0,0,0,0,2020-06-19,0,0,0,0,0
purchase of project management software,,2019-04-03,ProjectSoft,2123.211626277217,euro ,2123.211626277217,ProjectSoft,preparation costs,2019-04-03,2019-04-25,,0,0,0,0,0,0,0,2019-10-03,0,0,0,1,0
reimbursement for mileage during project travel,,2021-03-16,FuelEconomy,614.0620436034769,euro ,614.0620436034769,FuelEconomy,travel costs,2021-03-16,2021-08-06,,0,0,0,0,0,0,0,2021-09-16,0,0,0,0,0
cultural sensitivity training for project team,,2022-02-23,CrossCultural,3226.087059764072,euro ,3226.087059764072,CrossCultural,external services,2022-02-23,2022-07-30,,0,0,0,0,0,0,0,2022-08-23,0,0,0,0,0
acquisition of fieldwork cameras,,2018-02-04,CamTech,3657.023915831575,euro ,3657.023915831575,CamTech,equipment,2018-02-04,2018-04-23,,0,0,0,0,0,0,0,2018-08-04,0,0,0,0,0
hiring contractors for site preparation,,2022-05-01,SitePrep Co.,14879.27372020476,euro ,14879.27372020476,SitePrep Co.,infrastructure and building,2022-05-01,2022-08-27,,0,0,0,0,0,0,0,2022-11-01,0,0,0,0,0
hiring a grant writing consultant to draft project proposal,,2018-01-27,XYZ Consulting,3129.719070686857,euro ,3129.719070686857,XYZ Consulting,preparation costs,2018-01-27,2018-03-27,,0,0,0,0,0,0,0,2018-07-27,0,0,0,0,0
plane tickets for attending an international conference,,2018-03-18,Airline Company,867.120361384168,euro ,867.120361384168,Airline Company,travel costs,2018-03-18,2018-09-03,,0,0,0,0,0,0,0,2018-09-18,0,0,0,0,0
conducting market research for product development,,2021-01-04,Market Research Co,2535.553639623189,euro ,2535.553639623189,Market Research Co,external services,2021-01-04,2021-01-11,,0,0,0,0,0,0,0,2021-07-04,0,0,0,0,0
purchase of laboratory equipment for experiments,,2018-08-07,Lab Supplies Inc.,5250.172346754725,euro ,5250.172346754725,Lab Supplies Inc.,equipment,2018-08-07,2019-02-12,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2019-02-07,1,0,0,0,0
renovation of office space to accommodate project team,,2021-10-27,Construction Co.,10707.74779754992,euro ,10707.74779754992,Construction Co.,infrastructure and building,2021-10-27,2022-02-07,,0,0,0,0,0,0,0,2022-04-27,0,0,0,0,0
printing and binding of project proposal documents,,2022-08-09,Print Shop,207.6974243225877,euro ,207.6974243225877,Print Shop,preparation costs,2022-08-09,2022-08-23,,0,0,0,0,0,0,0,2023-02-09,0,0,0,0,0
reimbursement for mileage during field research,,2022-11-03,Gas Station,158.2138551545994,euro ,158.2138551545994,Gas Station,travel costs,2022-11-03,2023-05-18,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2023-05-03,1,0,0,0,0
legal advice for patenting project innovations,,2018-05-18,Barkerton Law,3608.512836935335,euro ,3608.512836935335,Barkerton Law Group llc,external services,2018-05-18,2018-07-10,please specify the correct supplier,0,0,0,1,0,0,0,2018-11-18,0,0,0,0,0
acquisition of specialized software for data analysis,,2020-09-03,Software Company,1229.355162568804,euro ,1229.355162568804,Software Company,equipment,2020-09-03,2020-09-09,,0,0,0,0,0,0,0,2021-03-03,0,0,0,0,0
construction of prototype testing facility,,2020-01-27,Building Contractor,16238.00583306397,dollar,16238.00583306397,Building Contractor,infrastructure and building,2020-01-27,2020-04-15,please specify the correct invoiced amount,0,0,1,0,0,0,0,2020-07-27,0,0,0,0,0
purchase of project management software subscription,,2022-04-18,Software Vendor,523.4997428005745,euro ,523.4997428005745,Software Vendor,preparation costs,2022-04-18,2022-07-15,,0,0,0,0,0,0,0,2022-10-18,0,0,0,0,0
train tickets for attending project coordination meetings,,2022-02-10,Rail Service,265.0247566864741,euro ,265.0247566864741,Rail Service,travel costs,2022-02-10,2022-07-07,,0,0,0,0,0,0,0,2022-08-10,0,0,0,0,0
hiring graphic designer for project branding,,2018-09-07,Design Agency,1024.242123854663,euro ,1024.242123854663,Design Agency,external services,2018-09-07,2019-01-13,,0,0,0,0,0,0,0,2019-03-07,0,0,0,0,0
procurement of laboratory glassware and chemicals,,2018-09-08,Lab Supplies Inc.,826.4849912755033,euro ,826.4849912755033,Lab Supplies Inc.,equipment,2018-09-08,2018-12-06,,0,0,0,0,0,0,0,2019-03-08,0,0,0,0,0
purchase of land for building experimental greenhouse,,2021-03-26,Real Estate Agency,20144.92656347213,euro ,20144.92656347213,Real Estate Agency,infrastructure and building,2021-03-26,2021-07-28,,0,0,0,0,0,0,0,2021-09-26,0,0,0,0,0
printing and postage for dissemination materials,,2019-03-23,Printing Service,320.4180122811355,euro ,320.4180122811355,Printing Service,preparation costs,2019-03-23,2019-10-04,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2019-09-23,1,0,0,0,0
reimbursement for taxi fares during project site visits,,2020-11-19,Taxi Company,100.979214624006,euro ,100.979214624006,Taxi Company,travel costs,2020-11-19,2021-05-23,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-05-19,1,0,0,0,0
consulting fee for regulatory compliance assessment,,2021-09-09,Regulatory Agency,4007.890146913732,euro ,4007.890146913732,Regulatory Agency,external services,2021-09-09,2022-02-16,,0,0,0,0,0,0,0,2022-03-09,0,0,0,0,0
acquisition of 3d printer for prototyping,,2019-10-02,Tech Supplier,1621.838688808037,euro ,1621.838688808037,Tech Supplier,equipment,2019-10-02,2020-03-14,,0,0,0,0,0,0,0,2020-04-02,0,0,0,0,0
installation of solar panels for sustainable energy source,,2022-10-25,Solar Energy Co.,8107.034328904278,euro ,8107.034328904278,Solar Energy Co.,infrastructure and building,2022-10-25,2023-01-09,,0,0,0,0,0,0,0,2023-04-25,0,0,0,0,0
subscription to project management journal,,2021-04-20,Online Publisher,51.8433594295265,euro ,51.8433594295265,Online Publisher,preparation costs,2021-04-20,2021-05-06,,0,0,0,0,0,0,0,2021-10-20,0,0,0,0,0
accommodation expenses during overseas fieldwork,,2019-10-18,Hotel Chain,1240.344455137983,euro ,1240.344455137983,Hotel Chain,travel costs,2019-10-18,2020-03-19,,0,0,0,0,0,0,0,2020-04-18,0,0,0,0,0
expert fees for environmental impact assessment,,2021-09-02,Environmental Co.,6460.593507496397,euro ,6460.593507496397,Environmental Co.,external services,2021-09-02,2021-10-07,,0,0,0,0,0,0,0,2022-03-02,0,0,0,0,0
purchase of drones for aerial mapping,,2020-08-07,Drone Supplier,3011.70299891768,euro ,3011.70299891768,Drone Supplier,equipment,2020-08-07,2021-02-12,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-02-07,1,0,0,0,0
construction of research laboratory,,2018-01-20,Construction Co.,25212.15510377095,euro ,25212.15510377095,Construction Co.,infrastructure and building,2018-01-20,2018-08-07,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2018-07-20,1,0,0,0,0
hiring a language editor for project documentation,,2018-05-07,Editing Service,436.6440490220429,euro ,436.6440490220429,Editing Service,preparation costs,2018-05-07,2018-08-23,,0,0,0,0,0,0,0,2018-11-07,0,0,0,0,0
reimbursement for parking fees during site visits,,2021-03-03,Parking Service,53.42875329451323,euro ,53.42875329451323,Parking Service,travel costs,2021-03-03,2021-06-29,,0,0,0,0,0,0,0,2021-09-03,0,0,0,0,0
consulting fee for economic feasibility study,,2021-04-28,Consulting Firm,5952.582104063477,euro ,5952.582104063477,Consulting Firm,external services,2021-04-28,2021-06-24,,0,0,0,0,0,0,0,2021-10-28,0,0,0,0,0
procurement of high-performance computing cluster,,2020-04-06,Tech Supplier,10201.10231540227,euro ,10201.10231540227,Tech Supplier,equipment,2020-04-06,2020-07-07,,0,0,0,0,0,0,0,2020-10-06,0,0,0,0,0
hiring a consultant to conduct market research,,2022-04-19,Market Research Co.,3090.918820176694,euro ,3090.918820176694,Market Research Co.,preparation costs,2022-04-19,2022-05-28,,0,0,0,0,0,0,0,2022-10-19,0,0,0,0,0
purchasing software for project management,,2022-10-10,Tech Solutions Ltd,1518.990071635694,euro ,1518.990071635694,Tech Solutions Ltd,preparation costs,2022-10-10,2022-10-18,,0,0,0,0,0,0,0,2023-04-10,0,0,0,0,0
round-trip plane tickets for project team members,,2018-10-19,Airline Company,5317.94253932482,euro ,5317.94253932482,Airline Company,travel costs,2018-10-19,2018-12-03,,0,0,0,0,0,0,0,2019-04-19,0,0,0,0,0
hotel accommodation during a project meeting,,2019-08-26,Hotel XYZ,1265.772632471289,euro ,1265.772632471289,Hotel XYZ,travel costs,2019-08-26,2019-12-14,,0,0,0,0,0,0,0,2020-02-26,0,0,0,0,0
legal consultation for project contract,,2020-01-11,Law Firm ABC,2723.631157018791,euro ,2723.631157018791,Law Firm ABC,external services,2020-01-11,2020-05-08,,0,0,0,0,0,0,0,2020-07-11,0,0,0,0,0
graphic design services for project branding,,2019-03-20,Design Studio,2145.539925848287,euro ,2145.539925848287,Design Studio,external services,2019-03-20,2019-09-09,,0,0,0,0,0,0,0,2019-09-20,0,0,0,0,0
purchase of laboratory equipment,,2018-07-03,Lab Supplies Inc.,8188.404461103298,euro ,8188.404461103298,Lab Supplies Inc.,equipment,2018-07-03,2018-09-24,,0,0,0,0,0,0,0,2019-01-03,0,0,0,0,0
acquisition of specialized software for data analysis,,2019-10-06,DataTech Solutions,3521.767582730833,euro ,3521.767582730833,DataTech Solutions,equipment,2019-10-06,2019-11-12,,0,0,0,0,0,0,0,2020-04-06,0,0,0,0,0
renovation of office space for project headquarters,,2019-10-17,Construction Co.,15349.5544679128,euro ,15349.5544679128,Construction Co.,infrastructure and building,2019-10-17,2020-02-04,,0,0,0,0,0,0,0,2020-04-17,0,0,0,0,0
purchase of materials for constructing project warehouse,,2018-10-23,Building Supplies,5054.896669489659,euro ,5054.896669489659,Building Supplies,infrastructure and building,2018-10-23,2019-03-22,,0,0,0,0,0,0,0,2019-04-23,0,0,0,0,0
fees for professional grant writing services,,2020-06-01,Grant Writers Inc.,1899.945765622243,euro ,1899.945765622243,Grant Writers Inc.,preparation costs,2020-06-01,2020-06-20,,0,0,0,0,0,0,0,2020-12-01,0,0,0,0,0
rental car for transportation during project fieldwork,,2020-01-28,Rental Car Co.,602.6981644686903,euro ,602.6981644686903,Rental Car Co.,travel costs,2020-01-28,2020-04-08,,0,0,0,0,0,0,0,2020-07-28,0,0,0,0,0
translation services for project documentation,,2018-02-10,Translation Co.,1227.652760483272,euro ,1227.652760483272,Translation Co.,external services,2018-02-10,2018-06-05,,0,0,0,0,0,0,0,2018-08-10,0,0,0,0,0
purchase of high-performance computer,,2022-12-10,Tech Store,2574.773562102236,euro ,2574.773562102236,Tech Store,equipment,2022-12-10,2023-03-21,,0,0,0,0,0,0,0,2023-06-10,0,0,0,0,0
installation of security systems for project facility,,2022-05-06,Security Co.,3506.463511572238,euro ,3506.463511572238,Security Co.,infrastructure and building,2022-05-06,2022-06-25,,0,0,0,0,0,0,0,2022-11-06,0,0,0,0,0
printing and binding of project proposal documents,,2022-11-14,Printing Services,438.6484992356656,euro ,438.6484992356656,Printing Services,preparation costs,2022-11-14,2023-04-16,,0,0,0,0,0,0,0,2023-05-14,0,0,0,0,0
reimbursement for mileage during project site visits,,2018-10-03,Fuel Company,315.7198573115981,euro ,315.7198573115981,Fuel Company,travel costs,2018-10-03,2018-12-13,,0,0,0,0,0,0,0,2019-04-03,0,0,0,0,0
